METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52176;"{""coordinates"": [-123.14228289717228, 49.26536221519856], ""type"": ""Point""}";Fairview;B71628;49.26536221519856, -123.14228289717228
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;61701;"{""coordinates"": [-123.12103606996068, 49.27935107616286], ""type"": ""Point""}";Downtown;600911;49.27935107616286, -123.12103606996068
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54750;"{""coordinates"": [-123.11593395127296, 49.26220240765437], ""type"": ""Point""}";Fairview;D00510;49.26220240765437, -123.11593395127296
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50346;"{""coordinates"": [-123.14071323881383, 49.26938580225368], ""type"": ""Point""}";Fairview;891808;49.26938580225368, -123.14071323881383
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50797;"{""coordinates"": [-123.17391333085881, 49.26394633778141], ""type"": ""Point""}";Kitsilano;8M2504;49.26394633778141, -123.17391333085881
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;;Yes;57927;"{""coordinates"": [-123.11035854534683, 49.264820426281446], ""type"": ""Point""}";Mount Pleasant;B70219;49.264820426281446, -123.11035854534683
Pay Station;$8.00;$3.00;$8.00;$3.00;$8.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50891;"{""coordinates"": [-123.14639499502003, 49.27116029599708], ""type"": ""Point""}";Kitsilano;941610;49.27116029599708, -123.14639499502003
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;26 Hrs;;Yes;57939;"{""coordinates"": [-123.11026994083191, 49.26663800060578], ""type"": ""Point""}";Mount Pleasant;B50219;49.26663800060578, -123.11026994083191
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;64323;"{""coordinates"": [-123.11540284403571, 49.27539095245644], ""type"": ""Point""}";Downtown;280915;49.27539095245644, -123.11540284403571
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50559;"{""coordinates"": [-123.16460283447361, 49.26361552339258], ""type"": ""Point""}";Kitsilano;2M2510;49.26361552339258, -123.16460283447361
Pay Station;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;$2.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;60843;"{""coordinates"": [-123.11566052323363, 49.27765564671716], ""type"": ""Point""}";Downtown;560816;49.27765564671716, -123.11566052323363
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52764;"{""coordinates"": [-123.16458712627524, 49.26438063323345], ""type"": ""Point""}";Kitsilano;2M2416;49.26438063323345, -123.16458712627524
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52532;"{""coordinates"": [-123.14426054863311, 49.26465660768018], ""type"": ""Point""}";Fairview;B81711;49.26465660768018, -123.14426054863311
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50223;"{""coordinates"": [-123.17599357623382, 49.263887084721404], ""type"": ""Point""}";Kitsilano;9M2507;49.263887084721404, -123.17599357623382
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;62320;"{""coordinates"": [-123.11741766857098, 49.27647466867756], ""type"": ""Point""}";Downtown;560928;49.27647466867756, -123.11741766857098
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53532;"{""coordinates"": [-123.14469147516975, 49.264664614283575], ""type"": ""Point""}";Fairview;B81719;49.264664614283575, -123.14469147516975
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50507;"{""coordinates"": [-123.14367453278308, 49.264537791579876], ""type"": ""Point""}";Fairview;B81704;49.264537791579876, -123.14367453278308
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;64044;"{""coordinates"": [-123.11653012351472, 49.27851604386619], ""type"": ""Point""}";Downtown;570815;49.27851604386619, -123.11653012351472
Pay Station;$6.00;$4.00;$6.00;$4.00;$6.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;65823;"{""coordinates"": [-123.11914986964206, 49.28042855433646], ""type"": ""Point""}";Downtown;600808;49.28042855433646, -123.11914986964206
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;65562;"{""coordinates"": [-123.12102359478816, 49.27918615356954], ""type"": ""Point""}";Downtown;600918;49.27918615356954, -123.12102359478816
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;63629;"{""coordinates"": [-123.11635620536573, 49.27847087441054], ""type"": ""Point""}";Downtown;570812;49.27847087441054, -123.11635620536573
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50969;"{""coordinates"": [-123.11310379212576, 49.261058962269644], ""type"": ""Point""}";Mount Pleasant;792705;49.261058962269644, -123.11310379212576
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50250;"{""coordinates"": [-123.17775913828962, 49.2644838945972], ""type"": ""Point""}";Kitsilano;0M2412;49.2644838945972, -123.17775913828962
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;65006;"{""coordinates"": [-123.12412797876443, 49.27731028802823], ""type"": ""Point""}";Downtown;601109;49.27731028802823, -123.12412797876443
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;62502;"{""coordinates"": [-123.12613847786834, 49.2751042089491], ""type"": ""Point""}";Downtown;170505;49.2751042089491, -123.12613847786834
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50825;"{""coordinates"": [-123.17794935691165, 49.26397263793183], ""type"": ""Point""}";Kitsilano;0M2503;49.26397263793183, -123.17794935691165
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50457;"{""coordinates"": [-123.13992966505512, 49.26874026889613], ""type"": ""Point""}";Fairview;B31522;49.26874026889613, -123.13992966505512
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51689;"{""coordinates"": [-123.17132008721809, 49.264351443349526], ""type"": ""Point""}";Kitsilano;6M2421;49.264351443349526, -123.17132008721809
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51747;"{""coordinates"": [-123.17599357623382, 49.263887084721404], ""type"": ""Point""}";Kitsilano;9M2505;49.263887084721404, -123.17599357623382
Single / Disability;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;65920;"{""coordinates"": [-123.12461402464947, 49.27572674695347], ""type"": ""Point""}";Downtown;591205;49.27572674695347, -123.12461402464947
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54204;"{""coordinates"": [-123.16473249543827, 49.26432807395436], ""type"": ""Point""}";Kitsilano;2M2419;49.26432807395436, -123.16473249543827
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54270;"{""coordinates"": [-123.1645913441414, 49.264264382151474], ""type"": ""Point""}";Kitsilano;2M2420;49.264264382151474, -123.1645913441414
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50636;"{""coordinates"": [-123.16459839292474, 49.26372648562389], ""type"": ""Point""}";Kitsilano;2M2504;49.26372648562389, -123.16459839292474
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52522;"{""coordinates"": [-123.16476530686674, 49.26379217360514], ""type"": ""Point""}";Kitsilano;2M2501;49.26379217360514, -123.16476530686674
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51261;"{""coordinates"": [-123.11883010268953, 49.26424920317924], ""type"": ""Point""}";Fairview;B80627;49.26424920317924, -123.11883010268953
Single / Disability;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;66069;"{""coordinates"": [-123.12138634147115, 49.27786173605452], ""type"": ""Point""}";Downtown;591001;49.27786173605452, -123.12138634147115
Twin;$5.00;$5.00;$5.00;$5.00;$5.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62102;;;570814;
Twin;$8.00;$5.00;$8.00;$5.00;$8.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53316;"{""coordinates"": [-123.12422547036608, 49.260245481703116], ""type"": ""Point""}";Fairview;832804;49.260245481703116, -123.12422547036608
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51521;"{""coordinates"": [-123.1759836810997, 49.26450191333532], ""type"": ""Point""}";Kitsilano;9M2413;49.26450191333532, -123.1759836810997
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50196;"{""coordinates"": [-123.17580939627047, 49.26398741883513], ""type"": ""Point""}";Kitsilano;9M2504;49.26398741883513, -123.17580939627047
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63865;"{""coordinates"": [-123.128261038219, 49.2869244980114], ""type"": ""Point""}";West End;121235;49.2869244980114, -123.128261038219
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61900;"{""coordinates"": [-123.128261038219, 49.2869244980114], ""type"": ""Point""}";West End;121237;49.2869244980114, -123.128261038219
Twin;$2.00;$4.00;$2.00;$4.00;$2.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62305;"{""coordinates"": [-123.12745877662026, 49.28622772023448], ""type"": ""Point""}";West End;121206;49.28622772023448, -123.12745877662026
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50993;"{""coordinates"": [-123.17198956842917, 49.26380901810613], ""type"": ""Point""}";Kitsilano;7M2508;49.26380901810613, -123.17198956842917
Single;$4.00;$2.00;$4.00;$2.00;$4.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65241;"{""coordinates"": [-123.11339423287015, 49.28295212319214], ""type"": ""Point""}";Downtown;590508;49.28295212319214, -123.11339423287015
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51580;"{""coordinates"": [-123.17112326465616, 49.26444386394758], ""type"": ""Point""}";Kitsilano;6M2418;49.26444386394758, -123.17112326465616
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50262;"{""coordinates"": [-123.13962459642012, 49.2688708884365], ""type"": ""Point""}";Fairview;B31513;49.2688708884365, -123.13962459642012
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53062;"{""coordinates"": [-123.11571467829448, 49.26504259402572], ""type"": ""Point""}";Fairview;B70511;49.26504259402572, -123.11571467829448
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50195;"{""coordinates"": [-123.17775913828962, 49.2644838945972], ""type"": ""Point""}";Kitsilano;0M2414;49.2644838945972, -123.17775913828962
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50237;"{""coordinates"": [-123.12559667485071, 49.26327695012698], ""type"": ""Point""}";Fairview;300930;49.26327695012698, -123.12559667485071
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53088;"{""coordinates"": [-123.12766047930373, 49.2635358191327], ""type"": ""Point""}";Fairview;301017;49.2635358191327, -123.12766047930373
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51560;"{""coordinates"": [-123.12766047930373, 49.2635358191327], ""type"": ""Point""}";Fairview;301019;49.2635358191327, -123.12766047930373
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51587;"{""coordinates"": [-123.12802735244183, 49.26354728686659], ""type"": ""Point""}";Fairview;301025;49.26354728686659, -123.12802735244183
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51116;"{""coordinates"": [-123.12802735244183, 49.26354728686659], ""type"": ""Point""}";Fairview;301027;49.26354728686659, -123.12802735244183
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51653;"{""coordinates"": [-123.17794935691165, 49.26397263793183], ""type"": ""Point""}";Kitsilano;0M2501;49.26397263793183, -123.17794935691165
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54694;"{""coordinates"": [-123.16655039075675, 49.263814836784725], ""type"": ""Point""}";Kitsilano;3M2503;49.263814836784725, -123.16655039075675
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51588;"{""coordinates"": [-123.12825185389629, 49.26354614735917], ""type"": ""Point""}";Fairview;301031;49.26354614735917, -123.12825185389629
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51744;"{""coordinates"": [-123.12727884018683, 49.26330351617197], ""type"": ""Point""}";Fairview;301004;49.26330351617197, -123.12727884018683
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67203;"{""coordinates"": [-123.10159954203932, 49.282263855599496], ""type"": ""Point""}";Downtown;050110;49.282263855599496, -123.10159954203932
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51062;"{""coordinates"": [-123.14225037893821, 49.26968543910707], ""type"": ""Point""}";Fairview;B21628;49.26968543910707, -123.14225037893821
Single;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50571;"{""coordinates"": [-123.1645948989521, 49.26382894603069], ""type"": ""Point""}";Kitsilano;2M2502;49.26382894603069, -123.1645948989521
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54564;"{""coordinates"": [-123.16459839292474, 49.26372648562389], ""type"": ""Point""}";Kitsilano;2M2506;49.26372648562389, -123.16459839292474
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54666;"{""coordinates"": [-123.16460283447361, 49.26361552339258], ""type"": ""Point""}";Kitsilano;2M2508;49.26361552339258, -123.16460283447361
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54208;"{""coordinates"": [-123.16476530686674, 49.26379217360514], ""type"": ""Point""}";Kitsilano;2M2503;49.26379217360514, -123.16476530686674
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53203;"{""coordinates"": [-123.11711870660528, 49.26494466082114], ""type"": ""Point""}";Fairview;B70538;49.26494466082114, -123.11711870660528
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54581;"{""coordinates"": [-123.16637892079567, 49.2638174315788], ""type"": ""Point""}";Kitsilano;3M2502;49.2638174315788, -123.16637892079567
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53230;"{""coordinates"": [-123.1165913049904, 49.26493619901395], ""type"": ""Point""}";Fairview;B70526;49.26493619901395, -123.1165913049904
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53202;"{""coordinates"": [-123.1165913049904, 49.26493619901395], ""type"": ""Point""}";Fairview;B70524;49.26493619901395, -123.1165913049904
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53259;"{""coordinates"": [-123.11641628350625, 49.264933434061255], ""type"": ""Point""}";Fairview;B70520;49.264933434061255, -123.11641628350625
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56900;"{""coordinates"": [-123.15078954249384, 49.263702722132436], ""type"": ""Point""}";Kitsilano;302002;49.263702722132436, -123.15078954249384
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50554;"{""coordinates"": [-123.16655039075675, 49.263814836784725], ""type"": ""Point""}";Kitsilano;3M2501;49.263814836784725, -123.16655039075675
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51605;"{""coordinates"": [-123.17130609117932, 49.26446152047592], ""type"": ""Point""}";Kitsilano;6M2415;49.26446152047592, -123.17130609117932
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51661;"{""coordinates"": [-123.17132008721809, 49.264351443349526], ""type"": ""Point""}";Kitsilano;6M2419;49.264351443349526, -123.17132008721809
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51635;"{""coordinates"": [-123.17214957906815, 49.263811541338605], ""type"": ""Point""}";Kitsilano;7M2505;49.263811541338605, -123.17214957906815
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51037;"{""coordinates"": [-123.17198582627272, 49.263914762361466], ""type"": ""Point""}";Kitsilano;7M2504;49.263914762361466, -123.17198582627272
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51551;"{""coordinates"": [-123.17405672133202, 49.264459829243165], ""type"": ""Point""}";Kitsilano;8M2419;49.264459829243165, -123.17405672133202
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51598;"{""coordinates"": [-123.17389678876523, 49.264413654786935], ""type"": ""Point""}";Kitsilano;8M2418;49.264413654786935, -123.17389678876523
Single;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51625;"{""coordinates"": [-123.1739065701235, 49.26377863227827], ""type"": ""Point""}";Kitsilano;8M2506;49.26377863227827, -123.1739065701235
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51550;"{""coordinates"": [-123.17581461706494, 49.26454389049465], ""type"": ""Point""}";Kitsilano;9M2414;49.26454389049465, -123.17581461706494
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51606;"{""coordinates"": [-123.17581733812901, 49.264431581175224], ""type"": ""Point""}";Kitsilano;9M2418;49.264431581175224, -123.17581733812901
