Block,Street,EntryDate,Status,Year,BI_ID,dayofweek,Geometry,Neighbourhood
1900,OGDEN AVE,2023-07-11,IS,2023,4546444,1,POINT (49.27679136718075 -123.14688777114696),Kitsilano
1200,W 11TH AVE,2023-07-11,IS,2023,4546448,1,POINT (49.26278126382685 -123.2006062005234),West Point Grey
2800,HEMLOCK ST,2023-07-11,VA,2023,4546451,1,POINT (49.2646743523168 -123.13607219335802),Fairview
3000,GRANVILLE ST,2023-07-11,IS,2023,4546453,1,POINT (49.25901295951559 -123.13874691672916),Fairview
2200,CORNWALL AVE,2023-07-11,VA,2023,4546454,1,POINT (49.272527866758566 -123.15140247306292),Kitsilano
600,W 29TH AVE,2023-07-11,IS,2023,4546457,1,POINT (49.24611588946404 -123.1694992041718),Arbutus Ridge
5000,ASH ST,2023-07-11,IS,2023,4546459,1,POINT (49.23455683324392 -123.11784027039413),South Cambie
5000,ASH ST,2023-07-11,IS,2023,4546460,1,POINT (49.23455683324392 -123.11784027039413),South Cambie
500,W 41ST AVE,2023-07-11,IS,2023,4546463,1,POINT (49.2334763157178 -123.11285640861216),Riley Park
900,W 33RD AVE,2023-07-11,IS,2023,4546471,1,POINT (49.24113182105821 -123.11968209948232),South Cambie
900,W 33RD AVE,2023-07-11,IS,2023,4546474,1,POINT (49.24113182105821 -123.11968209948232),South Cambie
3500,W 35TH AVE,2023-07-11,VA,2023,4546479,1,POINT (49.240400244675655 -123.1653509303186),Arbutus Ridge
3300,W 35TH AVE,2023-07-11,WR,2023,4546483,1,POINT (49.240400244675655 -123.1653509303186),Arbutus Ridge
3200,W 35TH AVE,2023-07-11,WR,2023,4546484,1,POINT (49.240400244675655 -123.1653509303186),Arbutus Ridge
500,W 64TH AVE,2023-07-11,WR,2023,4546490,1,POINT (49.21328707759695 -123.149469435529),Kerrisdale
200,E 28TH AVE,2023-07-11,IS,2023,4546491,1,POINT (49.24504725404995 -123.06896412572787),Kensington-Cedar Cottage
2300,SCOTIA ST,2023-07-11,IS,2023,4546510,1,POINT (49.26808478818446 -123.09780059703978),Strathcona
800,RICHARDS ST,2023-07-11,VA,2023,4546522,1,POINT (49.28389251320959 -123.1121989059986),Downtown
600,DAVIE ST,2023-07-11,IS,2023,4546538,1,POINT (49.27359439420446 -123.1206172696918),Downtown
900,RICHARDS ST,2023-07-11,IS,2023,4546540,1,POINT (49.28389251320959 -123.1121989059986),Downtown
2400,SPRUCE ST,2023-07-11,IS,2023,4546552,1,POINT (49.26291313268069 -123.12901615315036),Fairview
800,RICHARDS ST,2023-07-11,VA,2023,4546564,1,POINT (49.28389251320959 -123.1121989059986),Downtown
2000,ST GEORGE ST,2023-07-11,VA,2023,4546565,1,POINT (49.21153931821845 -123.09429233756627),Sunset
5400,QUEBEC ST,2023-07-11,VA,2023,4546566,1,POINT (49.27108699208687 -123.10239064507556),Mount Pleasant
1400,W 37TH AVE,2023-07-11,VA,2023,4546568,1,POINT (49.23731905788833 -123.11888712259989),South Cambie
2600,HIGHBURY ST,2023-07-11,VA,2023,4546569,1,POINT (49.270455650428815 -123.18757916237124),West Point Grey
1700,COTTRELL ST,2023-07-11,IS,2023,4546583,1,POINT (49.269480636511744 -123.084058869782),Strathcona
2200,KINGSWAY,2023-07-11,IS,2023,4546591,1,POINT (49.24137263993472 -123.05686279086896),Renfrew-Collingwood
1200,KINGSWAY,2023-07-11,IS,2023,4546593,1,POINT (49.24137263993472 -123.05686279086896),Renfrew-Collingwood
2700,EAST KENT AVE N,2023-07-11,VA,2023,4546596,1,POINT (49.20934943755498 -123.07738934857956),Sunset
1800,TRIUMPH ST,2023-07-11,VA,2023,4546597,1,POINT (49.28392235659911 -123.06263477989124),Grandview-Woodland
300,N GRANDVIEW HWY,2023-07-11,VA,2023,4546603,1,POINT (49.25810815312953 -123.03563183049172),Renfrew-Collingwood
2600,VICTORIA DRIVE,2023-07-11,IS,2023,4546604,1,POINT (49.2460053912135 -123.06508605765929),Kensington-Cedar Cottage
600,W 19TH AVE,2023-07-11,VA,2023,4546611,1,POINT (49.25446207763342 -123.1505170457216),Shaughnessy
5300,VICTORIA DRIVE,2023-07-11,IS,2023,4546625,1,POINT (49.2460053912135 -123.06508605765929),Kensington-Cedar Cottage
4000,W 4TH AVE,2023-07-11,WR,2023,4546633,1,POINT (49.268372708414766 -123.1680297998844),Kitsilano
4600,NW MARINE DRIVE,2023-07-11,WR,2023,4546634,1,POINT (49.2748108536942 -123.20624349335134),West Point Grey
4600,NW MARINE DRIVE,2023-07-11,VA,2023,4546635,1,POINT (49.2748108536942 -123.20624349335134),West Point Grey
2000,HIGHBURY ST,2023-07-11,WR,2023,4546639,1,POINT (49.270455650428815 -123.18757916237124),West Point Grey
3800,W 8TH AVE,2023-07-11,WR,2023,4546640,1,POINT (49.26445433343878 -123.1349402207505),Fairview
2400,ALDER ST,2023-07-11,IS,2023,4546643,1,POINT (49.259951199730736 -123.13150509283192),Fairview
2400,MAIN ST,2023-07-11,IS,2023,4546645,1,POINT (49.26474196750952 -123.1009572308099),Mount Pleasant
200,E 4TH AVE,2023-07-11,IS,2023,4546652,1,POINT (49.26733684006582 -123.10177691347558),Mount Pleasant
1800,LORNE ST,2023-07-11,IS,2023,4546653,1,POINT (49.26888419127316 -123.0992808570885),Strathcona
700,W BROADWAY,2023-07-11,IS,2023,4546654,1,POINT (49.2631457 -123.1201134),Fairview
700,W BROADWAY,2023-07-11,VA,2023,4546655,1,POINT (49.2631457 -123.1201134),Fairview
3000,HEMLOCK ST,2023-07-11,IS,2023,4546657,1,POINT (49.2646743523168 -123.13607219335802),Fairview
2300,W BROADWAY,2023-07-11,IS,2023,4546659,1,POINT (49.263649475047416 -123.1389344042681),Fairview
2600,TRIMBLE ST,2023-07-11,IS,2023,4546660,1,POINT (49.26466468174122 -123.2060496362257),West Point Grey
2600,W BROADWAY,2023-07-11,IS,2023,4546661,1,POINT (49.263649475047416 -123.1389344042681),Fairview
400,SW MARINE DRIVE,2023-07-11,IS,2023,4546666,1,POINT (49.20724376448944 -123.12418479819576),Marpole
2000,HIGHBURY ST,2023-07-11,IS,2023,4546672,1,POINT (49.270455650428815 -123.18757916237124),West Point Grey
1800,GLEN DRIVE,2023-07-11,VA,2023,4546680,1,POINT (49.27899599164199 -123.08134034625424),Strathcona
300,SMITHE ST,2023-07-11,IS,2023,4546684,1,POINT (49.28209979869905 -123.12420930935966),Downtown
800,E 6TH AVE,2023-07-11,WR,2023,4546687,1,POINT (49.26545458360071 -123.09793894839464),Mount Pleasant
700,SEYMOUR ST,2023-07-11,IS,2023,4546691,1,POINT (49.28386252193256 -123.1141175463516),Downtown
400,SEYMOUR ST,2023-07-11,IS,2023,4546692,1,POINT (49.28386252193256 -123.1141175463516),Downtown
800,W CORDOVA ST,2023-07-11,IS,2023,4546693,1,POINT (49.28775548425263 -123.1166327266634),Downtown
900,W CORDOVA ST,2023-07-11,IS,2023,4546694,1,POINT (49.28775548425263 -123.1166327266634),Downtown
900,CANADA PLACE,2023-07-11,IS,2023,4546696,1,POINT (49.2872705 -123.113634),Downtown
800,RICHARDS ST,2023-07-11,VA,2023,4546706,1,POINT (49.28389251320959 -123.1121989059986),Downtown
4700,FLEMING ST,2023-07-11,VA,2023,4546710,1,POINT (49.25536929265355 -123.07094366099771),Kensington-Cedar Cottage
1700,W 6TH AVE,2023-07-11,IS,2023,4546715,1,POINT (49.2661499 -123.1436491),Fairview
800,W 27TH AVE,2023-07-11,IS,2023,4546726,1,POINT (49.24716431798934 -123.12360598755744),South Cambie
200,W 15TH AVE,2023-07-11,VA,2023,4546728,1,POINT (49.257730642146186 -123.11010823265528),Mount Pleasant
1800,W 6TH AVE,2023-07-11,IS,2023,4546729,1,POINT (49.26626349669088 -123.14330665670457),Fairview
1500,W 10TH AVE,2023-07-11,IS,2023,4546734,1,POINT (49.26298122342149 -123.16007935506032),Kitsilano
800,RICHARDS ST,2023-07-11,VA,2023,4546736,1,POINT (49.28389251320959 -123.1121989059986),Downtown
1000,CANADA PLACE,2023-07-11,IS,2023,4546739,1,POINT (49.2885242145089 -123.11694843473931),Downtown
900,CANADA PLACE,2023-07-11,IS,2023,4546741,1,POINT (49.2872705 -123.113634),Downtown
1000,CANADA PLACE,2023-07-11,IS,2023,4546742,1,POINT (49.2885242145089 -123.11694843473931),Downtown
600,EXPO BLVD,2023-07-11,IS,2023,4546745,1,POINT (49.27639029788111 -123.11399663984524),Downtown
200,W 2ND AVE,2023-07-11,IS,2023,4546753,1,POINT (49.26847135417388 -123.01900681315158),
2200,CAROLINA ST,2023-07-11,IS,2023,4546759,1,POINT (49.26528011809774 -123.09102024702057),Mount Pleasant
1600,FRANCES ST,2023-07-11,IS,2023,4546765,1,POINT (49.279434856630814 -123.0737904824798),Grandview-Woodland
300,GARDEN DRIVE,2023-07-11,IS,2023,4546767,1,POINT (49.25748097494034 -123.05824987898282),Kensington-Cedar Cottage
3300,E PENDER ST,2023-07-11,VA,2023,4547415,1,POINT (49.280263136498185 -123.06797654648987),Grandview-Woodland
600,E 47TH AVE,2023-07-11,IS,2023,4547416,1,POINT (49.22756806264971 -123.05247207317724),Victoria-Fraserview
1000,BOUNDARY RD,2023-07-11,IS,2023,4547426,1,POINT (49.20664864201525 -123.02334473319804),
1000,BOUNDARY RD,2023-07-11,IS,2023,4547428,1,POINT (49.20664864201525 -123.02334473319804),
3400,KINGSWAY,2023-07-11,IS,2023,4547429,1,POINT (49.24137263993472 -123.05686279086896),Renfrew-Collingwood
1700,COTTRELL ST,2023-07-11,IS,2023,4547431,1,POINT (49.269480636511744 -123.084058869782),Strathcona
1700,COTTRELL ST,2023-07-11,IS,2023,4547432,1,POINT (49.269480636511744 -123.084058869782),Strathcona
1700,COTTRELL ST,2023-07-11,IS,2023,4547433,1,POINT (49.269480636511744 -123.084058869782),Strathcona
100,DAVIE ST,2023-07-11,IS,2023,4547448,1,POINT (49.27359439420446 -123.1206172696918),Downtown
1200,MARINASIDE CRESCENT,2023-07-11,IS,2023,4547449,1,POINT (49.272430446604425 -123.12072587385262),Downtown
2000,FIR ST,2023-07-11,IS,2023,4547495,1,POINT (49.26508537593947 -123.14080772960756),Fairview
1700,W 1ST AVE,2023-07-11,IS,2023,4547499,1,POINT (49.27115066311537 -123.14084618378423),Fairview
1800,DUNBAR ST,2023-07-11,VA,2023,4547526,1,POINT (49.26602421497274 -123.18373133802886),Kitsilano
2900,W 23RD AVE,2023-07-11,VA,2023,4547527,1,POINT (49.25076487953839 -123.12391852537706),South Cambie
5500,CONNAUGHT DRIVE,2023-07-11,VA,2023,4547529,1,POINT (49.24078627730938 -123.1423794012757),Shaughnessy
4300,HUDSON ST,2023-07-11,VA,2023,4547531,1,POINT (49.22282532277979 -123.13522534652328),Oakridge
1300,E 36TH AVE,2023-07-11,VA,2023,4547536,1,POINT (49.23811003512228 -123.09934986832836),Riley Park
400,E 58TH AVE,2023-07-11,VA,2023,4547538,1,POINT (49.21762173196085 -123.10201157113686),Sunset
7900,ASH ST,2023-07-11,VA,2023,4547540,1,POINT (49.23455683324392 -123.11784027039413),South Cambie
1500,W 57TH AVE,2023-07-11,VA,2023,4547542,1,POINT (49.21913832274932 -123.12302621764834),Oakridge
500,PACIFIC ST,2023-07-11,IS,2023,4547558,1,POINT (49.27411448989875 -123.12811737133056),Downtown
600,BEACH CRESCENT,2023-07-11,IS,2023,4547560,1,POINT (49.27221656948458 -123.1279155660227),Downtown
600,THURLOW ST,2023-07-11,IS,2023,4547578,1,POINT (49.284435007954905 -123.12510257255244),West End
600,THURLOW ST,2023-07-11,IS,2023,4547579,1,POINT (49.284435007954905 -123.12510257255244),West End
500,THURLOW ST,2023-07-11,IS,2023,4547582,1,POINT (49.284435007954905 -123.12510257255244),West End
600,ROBSON ST,2023-07-11,IS,2023,4547592,1,POINT (49.29243851667212 -123.13692796815148),West End
1100,ROBSON ST,2023-07-11,IS,2023,4547594,1,POINT (49.2846056 -123.125148),West End
1100,ROBSON ST,2023-07-11,IS,2023,4547595,1,POINT (49.2846056 -123.125148),West End
600,E 47TH AVE,2023-07-11,IS,2023,4547600,1,POINT (49.22756806264971 -123.05247207317724),Victoria-Fraserview
800,RICHARDS ST,2023-07-11,IS,2023,4547609,1,POINT (49.28389251320959 -123.1121989059986),Downtown
800,RICHARDS ST,2023-07-11,VA,2023,4547648,1,POINT (49.28389251320959 -123.1121989059986),Downtown
1500,W 1ST AVE,2023-07-11,IS,2023,4547652,1,POINT (49.27115066311537 -123.14084618378423),Fairview
1300,ARBUTUS ST,2023-07-11,IS,2023,4547654,1,POINT (49.26460696437234 -123.15291600265176),Kitsilano
3100,W BROADWAY,2023-07-11,VA,2023,4547660,1,POINT (49.263649475047416 -123.1389344042681),Fairview
4800,LAUREL ST,2023-07-11,IS,2023,4547661,1,POINT (49.24989484740089 -123.12469369334649),South Cambie
4800,LAUREL ST,2023-07-11,IS,2023,4547665,1,POINT (49.24989484740089 -123.12469369334649),South Cambie
4800,LAUREL ST,2023-07-11,IS,2023,4547666,1,POINT (49.24989484740089 -123.12469369334649),South Cambie
4800,LAUREL ST,2023-07-11,IS,2023,4547667,1,POINT (49.24989484740089 -123.12469369334649),South Cambie
1200,W 71ST AVE,2023-07-11,IS,2023,4547669,1,POINT (49.206891691580495 -123.12821450354454),Marpole
1400,CONTINENTAL ST,2023-07-11,IS,2023,4547677,1,POINT (49.27486856857762 -123.13041039833122),Downtown
1000,DUNSMUIR ST,2023-07-11,IS,2023,4547695,1,POINT (49.28281542265042 -123.11520663229886),Downtown
100,E 64TH AVE,2023-07-11,VA,2023,4547705,1,POINT (49.2119322077673 -123.06905701336096),Victoria-Fraserview
5900,WILLOW ST,2023-07-11,VA,2023,4547706,1,POINT (49.23517238349831 -123.12383362819509),South Cambie
5500,OSLER ST,2023-07-11,VA,2023,4547709,1,POINT (49.21470069521733 -123.13142811044982),Marpole
7900,ASH ST,2023-07-11,IS,2023,4547710,1,POINT (49.23455683324392 -123.11784027039413),South Cambie
1500,W 57TH AVE,2023-07-11,IS,2023,4547712,1,POINT (49.21913832274932 -123.12302621764834),Oakridge
1200,PARKER ST,2023-07-11,IS,2023,4547720,1,POINT (49.27566567381834 -123.05722840702906),Grandview-Woodland
1400,FRANCES ST,2023-07-11,IS,2023,4547721,1,POINT (49.279434856630814 -123.0737904824798),Grandview-Woodland
700,E HASTINGS ST,2023-07-11,IS,2023,4547730,1,POINT (49.281125450000005 -123.0235139),Hastings-Sunrise
1300,E HASTINGS ST,2023-07-11,IS,2023,4547731,1,POINT (49.281125450000005 -123.0235139),Hastings-Sunrise
2700,E HASTINGS ST,2023-07-11,IS,2023,4547734,1,POINT (49.28119992097435 -123.07183544904808),Grandview-Woodland
1500,BURNABY ST,2023-07-11,IS,2023,4547740,1,POINT (49.28539689610159 -123.14109782086209),West End
600,HOWE ST,2023-07-11,VA,2023,4547741,1,POINT (49.28478563333309 -123.11664266117666),Downtown
500,SEYMOUR ST,2023-07-11,IS,2023,4547743,1,POINT (49.28386252193256 -123.1141175463516),Downtown
1100,HORNBY ST,2023-07-11,IS,2023,4547745,1,POINT (49.27775938621518 -123.12922779155286),Downtown
700,NELSON ST,2023-07-11,IS,2023,4547750,1,POINT (49.28663422573088 -123.13439612729384),West End
800,RICHARDS ST,2023-07-11,VA,2023,4547755,1,POINT (49.28389251320959 -123.1121989059986),Downtown
700,RICHARDS ST,2023-07-11,IS,2023,4547784,1,POINT (49.28389251320959 -123.1121989059986),Downtown
1600,GRAVELEY ST,2023-07-11,IS,2023,4547793,1,POINT (49.27052002648547 -123.0705910454805),Grandview-Woodland
1700,COMMERCIAL DRIVE,2023-07-11,IS,2023,4547794,1,POINT (49.2694876 -123.0694167),Grandview-Woodland
9000,SHAUGHNESSY ST,2023-07-11,WR,2023,4547808,1,POINT (49.21183978978081 -123.12876973011936),Marpole
3300,MACKENZIE ST,2023-07-11,VA,2023,4547809,1,POINT (49.256604711107805 -123.17009773965682),Arbutus Ridge
4600,NW MARINE DRIVE,2023-07-11,WR,2023,4547813,1,POINT (49.2748108536942 -123.20624349335134),West Point Grey
2200,HIGHBURY ST,2023-07-11,WR,2023,4547816,1,POINT (49.270455650428815 -123.18757916237124),West Point Grey
1900,WALLACE ST,2023-07-11,WR,2023,4547817,1,POINT (49.26037759984131 -123.1909952552061),West Point Grey
1600,GLEN DRIVE,2023-07-11,IS,2023,4547820,1,POINT (49.27899599164199 -123.08134034625424),Strathcona
2300,ST CATHERINES ST,2023-07-11,VA,2023,4547821,1,POINT (49.25049505885742 -123.08576061072654),Kensington-Cedar Cottage
2200,PRINCE ALBERT ST,2023-07-11,WR,2023,4547823,1,POINT (49.212924011360265 -123.08815105623133),Sunset
500,E 5TH AVE,2023-07-11,WR,2023,4547825,1,POINT (49.26615518806205 -123.0910227225303),Mount Pleasant
1900,MCNICOLL AVE,2023-07-11,IS,2023,4547841,1,POINT (49.27623865936884 -123.1489152463299),Kitsilano
1700,W 10TH AVE,2023-07-11,IS,2023,4547844,1,POINT (49.26298122342149 -123.16007935506032),Kitsilano
1600,W 10TH AVE,2023-07-11,IS,2023,4547845,1,POINT (49.26298122342149 -123.16007935506032),Kitsilano
1900,W 5TH AVE,2023-07-11,IS,2023,4547846,1,POINT (49.26653047663682 -123.10709823256131),Mount Pleasant
400,SEYMOUR ST,2023-07-11,IS,2023,4547864,1,POINT (49.28386252193256 -123.1141175463516),Downtown
800,W HASTINGS ST,2023-07-11,IS,2023,4547865,1,POINT (49.289948817085296 -123.12668230100182),Downtown
800,W HASTINGS ST,2023-07-11,IS,2023,4547866,1,POINT (49.289948817085296 -123.12668230100182),Downtown
600,HOWE ST,2023-07-11,VA,2023,4547876,1,POINT (49.28478563333309 -123.11664266117666),Downtown
700,HOWE ST,2023-07-11,IS,2023,4547877,1,POINT (49.28478563333309 -123.11664266117666),Downtown
700,HOWE ST,2023-07-11,IS,2023,4547878,1,POINT (49.28478563333309 -123.11664266117666),Downtown
700,HOWE ST,2023-07-11,IS,2023,4547879,1,POINT (49.28478563333309 -123.11664266117666),Downtown
1100,HARWOOD ST,2023-07-11,IS,2023,4547886,1,POINT (49.2789967 -123.1338690499194),West End
1600,E 10TH AVE,2023-07-11,IS,2023,4547889,1,POINT (49.26158087156491 -123.09514400292088),Mount Pleasant
1100,SALSBURY DRIVE,2023-07-11,IS,2023,4547893,1,POINT (49.27485750593576 -123.06759809731922),Grandview-Woodland
1500,E 11TH AVE,2023-07-11,IS,2023,4547896,1,POINT (49.26061466197664 -123.08822625059318),Mount Pleasant
1800,OGDEN AVE,2023-07-11,IS,2023,4547902,1,POINT (49.27679136718075 -123.14688777114696),Kitsilano
1900,CREELMAN AVE,2023-07-11,IS,2023,4547904,1,POINT (49.27449836796125 -123.15016020140683),Kitsilano
1000,BURNABY ST,2023-07-11,IS,2023,4547905,1,POINT (49.28539689610159 -123.14109782086209),West End
800,BEATTY ST,2023-07-11,IS,2023,4547907,1,POINT (49.27618820163418 -123.11608284286764),Downtown
2200,CORNWALL AVE,2023-07-11,IS,2023,4547909,1,POINT (49.272527866758566 -123.15140247306292),Kitsilano
1300,CYPRESS ST,2023-07-11,IS,2023,4547914,1,POINT (49.27115653749774 -123.14784700331332),Kitsilano
2000,CREELMAN AVE,2023-07-11,IS,2023,4547918,1,POINT (49.27449836796125 -123.15016020140683),Kitsilano
1900,OGDEN AVE,2023-07-11,IS,2023,4547919,1,POINT (49.27679136718075 -123.14688777114696),Kitsilano
1900,MCNICOLL AVE,2023-07-11,IS,2023,4547920,1,POINT (49.27623865936884 -123.1489152463299),Kitsilano
800,RICHARDS ST,2023-07-11,VA,2023,4547921,1,POINT (49.28389251320959 -123.1121989059986),Downtown
1000,HOMER ST,2023-07-11,IS,2023,4547922,1,POINT (49.27373329017452 -123.1255458312866),Downtown
1600,MANITOBA ST,2023-07-11,IS,2023,4547926,1,POINT (49.26699403571597 -123.10667013142849),Mount Pleasant
100,NATIONAL AVE,2023-07-11,IS,2023,4547932,1,POINT (49.27471945575387 -123.09809105537344),Strathcona
100,SWITCHMEN ST,2023-07-11,IS,2023,4547938,1,POINT (49.271084316757 -123.1014875956304),Mount Pleasant
1600,ONTARIO ST,2023-07-11,IS,2023,4547941,1,POINT (49.24747198861629 -123.10505632911918),Riley Park
600,W PENDER ST,2023-07-11,IS,2023,4547944,1,POINT (49.2802225 -123.02352405),Hastings-Sunrise
800,W HASTINGS ST,2023-07-11,IS,2023,4547946,1,POINT (49.289948817085296 -123.12668230100182),Downtown
800,BURRARD ST,2023-07-11,IS,2023,4547947,1,POINT (49.2828613 -123.12284249132792),Downtown
2200,W 41ST AVE,2023-07-11,IS,2023,4547967,1,POINT (49.2334763157178 -123.11285640861216),Riley Park
1500,HARWOOD ST,2023-07-11,IS,2023,4547985,1,POINT (49.28356605132126 -123.14041724015752),West End
1300,BURNABY ST,2023-07-11,VA,2023,4547989,1,POINT (49.28539689610159 -123.14109782086209),West End
1100,ROBSON ST,2023-07-11,IS,2023,4547998,1,POINT (49.2846056 -123.125148),West End
1400,W PENDER ST,2023-07-11,IS,2023,4548006,1,POINT (49.2802225 -123.02352405),Hastings-Sunrise
800,RICHARDS ST,2023-07-11,VA,2023,4548024,1,POINT (49.28389251320959 -123.1121989059986),Downtown
300,COLUMBIA ST,2023-07-11,IS,2023,4548033,1,POINT (49.2799599 -123.114652),Downtown
0,E CORDOVA ST,2023-07-11,IS,2023,4548034,1,POINT (49.28204851235167 -123.08613822395507),Strathcona
2200,CORNWALL AVE,2023-07-11,IS,2023,4548039,1,POINT (49.272527866758566 -123.15140247306292),Kitsilano
1300,HARWOOD ST,2023-07-11,IS,2023,4548041,1,POINT (49.28356605132126 -123.14041724015752),West End
1200,CARDERO ST,2023-07-11,IS,2023,4548044,1,POINT (49.28768612234381 -123.13497242450978),West End
1600,BURNABY ST,2023-07-11,IS,2023,4548045,1,POINT (49.28539689610159 -123.14109782086209),West End
1700,BURNABY ST,2023-07-11,IS,2023,4548046,1,POINT (49.28539689610159 -123.14109782086209),West End
700,RICHARDS ST,2023-07-11,IS,2023,4548050,1,POINT (49.28389251320959 -123.1121989059986),Downtown
800,RICHARDS ST,2023-07-11,IS,2023,4548052,1,POINT (49.28389251320959 -123.1121989059986),Downtown
800,W HASTINGS ST,2023-07-11,IS,2023,4548056,1,POINT (49.289948817085296 -123.12668230100182),Downtown
100,W CORDOVA ST,2023-07-11,IS,2023,4548061,1,POINT (49.28775548425263 -123.1166327266634),Downtown
200,CARRALL ST,2023-07-11,IS,2023,4548065,1,POINT (49.283129 -123.1041241),Downtown
0,N DUNLEVY AVE,2023-07-11,IS,2023,4548066,1,POINT (49.28264446885062 -123.09534123497272),Strathcona
200,ALEXANDER ST,2023-07-11,IS,2023,4548068,1,POINT (49.284078819708526 -123.098285432893),Strathcona
0,WATER ST,2023-07-11,IS,2023,4548069,1,POINT (49.28337555659361 -123.10410993361448),Downtown
400,RAILWAY ST,2023-07-11,IS,2023,4548075,1,POINT (49.28460684200692 -123.0965823923822),Strathcona
400,RAILWAY ST,2023-07-11,IS,2023,4548076,1,POINT (49.28460684200692 -123.0965823923822),Strathcona
100,W CORDOVA ST,2023-07-11,IS,2023,4548080,1,POINT (49.28775548425263 -123.1166327266634),Downtown
1000,W HASTINGS ST,2023-07-11,IS,2023,4548090,1,POINT (49.281125450000005 -123.0235139),Hastings-Sunrise
1300,ROBSON ST,2023-07-11,VA,2023,4548118,1,POINT (49.2872256 -123.1291922),West End
1800,ALBERNI ST,2023-07-11,IS,2023,4548132,1,POINT (49.293629536028696 -123.13660129384468),West End
700,CHILCO ST,2023-07-11,IS,2023,4548133,1,POINT (49.29374805 -123.13748163873178),West End
900,SEYMOUR ST,2023-07-11,IS,2023,4548136,1,POINT (49.2794177 -123.120598),Downtown
800,RAYMUR AVE,2023-07-11,IS,2023,4548142,1,POINT (49.27709808604445 -123.08258643871731),Strathcona
4800,QUEBEC ST,2023-07-11,IS,2023,4548144,1,POINT (49.27108699208687 -123.10239064507556),Mount Pleasant
4800,QUEBEC ST,2023-07-11,IS,2023,4548145,1,POINT (49.27108699208687 -123.10239064507556),Mount Pleasant
100,W 3RD AVE,2023-07-11,IS,2023,4548146,1,POINT (49.26885462785312 -123.13918976627208),Fairview
0,W 4TH AVE,2023-07-11,IS,2023,4548148,1,POINT (49.268372708414766 -123.1680297998844),Kitsilano
0,E 5TH AVE,2023-07-11,IS,2023,4548151,1,POINT (49.26615518806205 -123.0910227225303),Mount Pleasant
1600,E PENDER ST,2023-07-11,IS,2023,4548157,1,POINT (49.2802225 -123.02352405),Hastings-Sunrise
700,E 30TH AVE,2023-07-11,IS,2023,4548159,1,POINT (49.24025840867719 -123.05749008131772),Renfrew-Collingwood
4500,WALDEN ST,2023-07-11,IS,2023,4548160,1,POINT (49.23950924744181 -123.10015365612033),Riley Park
4500,WALDEN ST,2023-07-11,IS,2023,4548161,1,POINT (49.23950924744181 -123.10015365612033),Riley Park
4800,QUEBEC ST,2023-07-11,IS,2023,4548162,1,POINT (49.27108699208687 -123.10239064507556),Mount Pleasant
3900,PERRY ST,2023-07-11,IS,2023,4548167,1,POINT (49.24600817153986 -123.07136919648104),Kensington-Cedar Cottage
100,DUNLEVY AVE,2023-07-11,IS,2023,4548172,1,POINT (49.28264446885062 -123.09534123497272),Strathcona
700,E CORDOVA ST,2023-07-11,IS,2023,4548173,1,POINT (49.28204851235167 -123.08613822395507),Strathcona
1000,E CORDOVA ST,2023-07-11,IS,2023,4548174,1,POINT (49.28204851235167 -123.08613822395507),Strathcona
300,VERNON DRIVE,2023-07-11,IS,2023,4548177,1,POINT (49.28036948278567 -123.07910136652104),Strathcona
1100,E PENDER ST,2023-07-11,IS,2023,4548178,1,POINT (49.2802225 -123.02352405),Hastings-Sunrise
